Subject,PMAT24_A_CR,VSPLOT_TC,PicSeq_Unadj,IWRD_TOT,PicVocab_Unadj,ReadEng_Unadj,CardSort_Unadj,Flanker_Unadj,ProcSpeed_Unadj,ListSort_Unadj,PMAT24_A_SI,PMAT24_A_RTCR,WM_Task_2bk_Acc,Relational_Task_Match_Median_RT,Relational_Task_Rel_Median_RT,SCPT_TP,SCPT_TN,SCPT_FP,SCPT_FN,SCPT_TPRT,DDisc_AUC_200,DDisc_AUC_40K
100004,19,9,118.7,37,111.1118,109.9589,103.17,121.97,92.72,96.99,0,15590,,,,53,119,1,7,520,0.12181146,0.067448124
100206,20,12,125.07,34,119.8914,113.546,119.14,130.42,138.72,112.89,0,18574.5,83.507,1430,1745.75,58,115,5,2,520,0.09707188,0.05000021
100307,17,9,110.61,35,107.2,111.07,123.75,112.56,122.65,108.06,2,11839,77.083,1385.5,2145,59,115,5,1,412,0.16217604,0.31145853
100408,7,17,125.71,37,134.24,131.81,111.14,121.18,107.08,108.06,12,3042,92.708,1347,2311.5,52,110,10,8,468,0.20306146,0.42135438
100610,23,18,109.04,38,140.8151,141.3166,129.84,126.53,111.11,117.39,0,12280,96.181,1477,1918.5,60,117,3,0,465,0.8016292,0.8687502
101006,11,20,84.68,37,95.42348,113.5374,105.19,101.85,90.59,93.9,8,6569,58.681,1276.5,1732.25,59,117,3,1,440,0.28379062,0.7830731
101107,14,16,105.6,30,119.8459,119.2434,119.76,107.04,112.27,130.38,5,6880,77.083,1094.5,1094,55,113,7,5,510,0.088478126,0.5843752
101208,8,2,102.56,33,103.737,106.345,93.56,94.96,107.8,108.06,11,6805,,,,58,115,5,2,435,0.57962394,0.81796896
101309,15,10,102.89,34,123.3551,106.9173,99.76,113.67,105.28,117.39,4,12558,92.535,1501.5,1316.5,57,107,13,3,471,0.92194164,0.9497398
101410,19,14,114.48,32,112.2394,113.5714,116.89,108.46,104.06,112.89,0,21640,90.104,1278,1757.75,59,101,19,1,410,0.059441667,0.33737
101612,19,12,107.51,30,105.5068,101.2981,107.66,115.22,124.27,108.06,0,14620,,,,57,113,7,3,400,0.2287125,0.3734377
101915,21,14,95.13,35,121.63,120.95,102.25,98.94,103.25,117.39,0,51977,74.826,1386,2663.25,59,120,0,1,420,0.5366552,0.9234377
102008,20,13,113.72,38,124.8017,128.1398,119.59,115.5,137.25,100.43,0,23596,96.181,1296,2411,59,116,4,1,460,0.0474625,0.26601583
102109,21,23,108.89,32,122.3403,115.1095,112.47,110.38,93.82,121.89,0,20678,84.722,1195,2244,0,120,0,60,,0.5672542,0.7203127
102311,20,13,118.8,35,116.52,110.8,102.83,111.75,91.68,121.89,0,22781.5,72.396,1791,2932.25,56,115,5,4,545,0.06543125,0.21562521
102513,18,18,116.13,35,121.2287,124.8705,102.84,86.31,60.09,112.89,1,26980,86.111,1328,2156,60,117,3,0,515,0.019467708,0.14140646
102614,18,17,135.55,38,112.6225,106.7909,124.08,124.64,152.77,117.39,1,13084,94.792,1327,1960.5,59,116,4,1,440,0.59368646,0.9609377
102715,22,19,105.63,35,124.4154,121.6283,116.16,104.59,126.95,117.39,0,17855,96.181,1284.5,1562.75,60,118,2,0,495,0.44928542,0.7656252
102816,17,11,114.48,39,99.04,100.9,117.1,96.95,104.82,117.39,2,15126,81.076,1107,904.75,60,115,5,0,452.5,0.060613543,0.08098979
103010,19,16,108.04,35,105.4383,115.394,108.06,85.74,105.28,126.18,0,14189,77.604,,,59,116,4,1,450,0.041082293,0.22408874
103111,21,13,110.7,34,123.1029,118.7641,107.69,103.86,97.15,126.18,0,16468,89.931,1379.5,1940.5,59,116,4,1,460,0.3067073,0.63632834
103212,15,16,103.28,36,124.138,127.1703,101.41,95.94,100.29,130.38,4,7730,85.069,1569.5,2665.25,59,115,5,1,480,0.31673333,0.71328145
103414,17,9,92.36,37,108.83,111.35,107.52,102.76,110.41,112.89,2,7301,83.681,1389.25,1969.5,50,115,5,10,530.5,0.5180354,0.86601585
103515,8,2,99.4,26,102.58,87.66,103.94,106.97,102.02,96.99,11,6731,51.736,1204,1098,57,106,14,3,518,0.1568375,0.015625209
103818,16,8,101.01,37,130.89,120.49,107.93,101.75,107,117.39,3,12518.5,78.472,1478.75,2717.75,59,117,3,1,488,0.18912917,0.4983075
104012,10,15,97.65,35,107.49,102.5179,110.61,100.62,109.05,96.99,9,3635,,1374.5,1730.75,52,112,8,8,465,0.08691563,0.16015646
104113,11,13,101.78,33,104.5637,104.4678,111.65,119.39,111.11,93.9,8,5650,,,,57,115,5,3,520,0.18366042,0.19648458
104416,23,19,135.55,31,124.514,128.4841,119.59,115.12,134.82,108.06,0,12040,93.75,1310.5,1866.75,60,119,1,0,490,0.5363948,0.71731794
104820,15,14,93.23,35,99.55872,103.5371,115.46,108.94,117.2,112.89,4,16529,72.222,1716.5,2541,60,119,1,0,475,0.26855624,0.8609377
105014,21,13,125.71,37,115.13,130.17,101.87,97.68,90.22,112.89,0,33614,87.5,1207,1804.5,59,118,2,1,460,0.12975417,0.5121096
105115,22,16,110.7,37,121.81,119.17,109.62,106.14,103.91,126.18,0,20070,90.972,1812.5,1994,58,116,4,2,499.5,0.43704584,0.5906252
105216,22,24,135.55,40,126.21,125.67,138.6,137.11,125.96,121.89,0,20162.5,97.569,1154.5,1444.5,58,116,4,2,399,0.26673332,0.63203144
105620,22,18,125.07,38,120.2309,125.504,143.94,115.04,121.22,121.89,0,11795,97.569,1419,2242,58,115,5,2,430,0.27519688,0.72682315
