Subject,MS0,SE0,HB0,MS1Flt,SE1,HB1,MS2Det,SE2,HB2,MS3,SE3,HB3,Group
100206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50402716,4.601700976,-0.006123227,3
100307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45796363,4.618908605,-0.127192336,2
100408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.600550863,4.453017364,0.149933136,5
100610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.525436495,4.527615154,-0.03774484,4
101006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.398471905,4.417267067,-0.33340283,2
101107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.591094387,4.543929379,0.084239974,5
101309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.475819942,4.490640053,-0.145261673,3
101915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.529057614,4.665293072,0.094174649,4
102008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.665763851,4.358770619,0.277744077,5
102311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.526187817,4.614647519,0.01097764,4
102513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.555535066,4.651018686,0.102398321,4
102614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.365838679,4.452276254,-0.272805422,1
102715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.486334995,4.504353903,-0.153762157,3
102816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51782121,4.622895891,-0.13185751,4
103010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.587418512,4.455310184,0.089459193,5
103111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.369838035,4.379612375,-0.268252384,1
103212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.540880937,4.597231004,-0.040666206,4
103414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.386972281,4.497015094,-0.322559846,1
103515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.494140925,4.535891892,-0.079718069,3
103818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.542269169,4.592868112,-0.05028317,4
104012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.372180178,4.425238129,-0.323310887,1
104416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.455605292,4.463115645,-0.131908474,2
104820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.375242796,4.425665806,-0.343442199,1
105014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.450572295,4.537933348,-0.190353264,2
105115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.412682415,4.592038063,-0.167223407,2
105216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.446899194,4.49692163,-0.2308144,2
105620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.358656125,4.381316399,-0.354691749,1
105923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.691232279,4.338468124,0.30339812,5
106016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.489414287,4.63706906,-0.035989498,3
106319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6817005,4.303343812,0.317228108,5
106521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44111216,4.534472961,-0.192545092,2
106824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.544436688,4.67421478,0.082790691,4
107018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.488747321,4.709324063,-0.051988113,3
107321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.429076933,4.515409817,-0.145022325,2
107422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.569501672,4.637748907,0.112529699,4
107725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.459605956,4.506962191,-0.302214708,3
108020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.518891328,4.637707368,-0.04816562,4
108121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.508272374,4.567677995,-0.103588138,3
108222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.633092454,4.464957702,0.167200189,5
108323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.461511033,4.632172204,-0.119408427,3
